STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,UNIT_MEASURE,Unit of measure,RESOURCE,Resource,SEEA,Stocks and flows,CLASS,Class,TIME_PERIOD,Time period,OBS_VALUE,Observation value,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,LEAD,Lead,DISCREPANCY,Discrepancies,A,Commercially recoverable resources,2018,,0,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,LEAD,Lead,DISCREPANCY,Discrepancies,A,Commercially recoverable resources,2019,,0,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,LEAD,Lead,DISCREPANCY,Discrepancies,A,Commercially recoverable resources,2020,,-0.027,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,LEAD,Lead,DISCREPANCY,Discrepancies,A,Commercially recoverable resources,2021,,0,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,GOLD,Gold,OPENING,Opening stock,A,Commercially recoverable resources,2013,,2148,,0,Units
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,GOLD,Gold,OPENING,Opening stock,A,Commercially recoverable resources,2014,,2140,,0,Units
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,GOLD,Gold,OPENING,Opening stock,A,Commercially recoverable resources,2015,,2069.9,,0,Units
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,GOLD,Gold,OPENING,Opening stock,A,Commercially recoverable resources,2016,,1983.8,,0,Units
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,GOLD,Gold,OPENING,Opening stock,A,Commercially recoverable resources,2017,,1910,,0,Units
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,GOLD,Gold,OPENING,Opening stock,A,Commercially recoverable resources,2018,,2578,,0,Units
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,GOLD,Gold,OPENING,Opening stock,A,Commercially recoverable resources,2019,,2597,,0,Units
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,GOLD,Gold,OPENING,Opening stock,A,Commercially recoverable resources,2020,,2359,,0,Units
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,GOLD,Gold,OPENING,Opening stock,A,Commercially recoverable resources,2021,,2659,,0,Units
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,IRON,Iron-Ore,TOTAL_AD,Total additions to stock,A,Commercially recoverable resources,2013,,0.318,,9,Billions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,IRON,Iron-Ore,TOTAL_AD,Total additions to stock,A,Commercially recoverable resources,2014,,0.625,,9,Billions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,IRON,Iron-Ore,TOTAL_AD,Total additions to stock,A,Commercially recoverable resources,2016,,0.001,,9,Billions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,IRON,Iron-Ore,TOTAL_AD,Total additions to stock,A,Commercially recoverable resources,2018,,0.674,,9,Billions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,IRON,Iron-Ore,TOTAL_AD,Total additions to stock,A,Commercially recoverable resources,2019,,0.001,,9,Billions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,ZINC,Zinc,UP,Upward reappraisals,A,Commercially recoverable resources,2015,,0.312,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,ZINC,Zinc,UP,Upward reappraisals,A,Commercially recoverable resources,2017,,0.36,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,ZINC,Zinc,UP,Upward reappraisals,A,Commercially recoverable resources,2019,,0.536,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,SILVER,Silver,OPENING,Opening stock,A,Commercially recoverable resources,2013,,5.598,,3,Thousands
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,SILVER,Silver,OPENING,Opening stock,A,Commercially recoverable resources,2014,,5.013,,3,Thousands
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,SILVER,Silver,OPENING,Opening stock,A,Commercially recoverable resources,2015,,5.498,,3,Thousands
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,SILVER,Silver,OPENING,Opening stock,A,Commercially recoverable resources,2016,,5.345,,3,Thousands
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,SILVER,Silver,OPENING,Opening stock,A,Commercially recoverable resources,2017,,3.626,,3,Thousands
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,SILVER,Silver,OPENING,Opening stock,A,Commercially recoverable resources,2018,,5.074,,3,Thousands
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,SILVER,Silver,OPENING,Opening stock,A,Commercially recoverable resources,2019,,4.865,,3,Thousands
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,SILVER,Silver,OPENING,Opening stock,A,Commercially recoverable resources,2020,,4.48,,3,Thousands
