STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,UNIT_MEASURE,Unit of measure,RESOURCE,Resource,SEEA,Stocks and flows,CLASS,Class,TIME_PERIOD,Time period,OBS_VALUE,Observation value,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,NICKEL,Nickel,EXTRACTIONS,Extractions,A,Commercially recoverable resources,2019,,0.176,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,NICKEL,Nickel,EXTRACTIONS,Extractions,A,Commercially recoverable resources,2020,,0.158,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,NICKEL,Nickel,EXTRACTIONS,Extractions,A,Commercially recoverable resources,2021,,0.134,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,NICKEL,Nickel,TOTAL_RED,Total reductions in stock,A,Commercially recoverable resources,2013,,0.218,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,NICKEL,Nickel,TOTAL_RED,Total reductions in stock,A,Commercially recoverable resources,2014,,0.395,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,NICKEL,Nickel,TOTAL_RED,Total reductions in stock,A,Commercially recoverable resources,2015,,0.225,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,NICKEL,Nickel,TOTAL_RED,Total reductions in stock,A,Commercially recoverable resources,2016,,0.23,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,NICKEL,Nickel,TOTAL_RED,Total reductions in stock,A,Commercially recoverable resources,2017,,0.206,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,NICKEL,Nickel,TOTAL_RED,Total reductions in stock,A,Commercially recoverable resources,2018,,0.494,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,NICKEL,Nickel,TOTAL_RED,Total reductions in stock,A,Commercially recoverable resources,2019,,0.176,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,NICKEL,Nickel,TOTAL_RED,Total reductions in stock,A,Commercially recoverable resources,2020,,0.259,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,NICKEL,Nickel,TOTAL_RED,Total reductions in stock,A,Commercially recoverable resources,2021,,0.134,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,COPPER,Copper,UP,Upward reappraisals,A,Commercially recoverable resources,2013,,1.034,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,COPPER,Copper,UP,Upward reappraisals,A,Commercially recoverable resources,2014,,0.092,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,COPPER,Copper,UP,Upward reappraisals,A,Commercially recoverable resources,2015,,0.42,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,COPPER,Copper,UP,Upward reappraisals,A,Commercially recoverable resources,2017,,0.463,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,COPPER,Copper,UP,Upward reappraisals,A,Commercially recoverable resources,2020,,0.232,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,COPPER,Copper,UP,Upward reappraisals,A,Commercially recoverable resources,2021,,1.161,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,SILVER,Silver,DOWN,Downward reappraisals,A,Commercially recoverable resources,2016,,1.334,,3,Thousands
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,SILVER,Silver,DOWN,Downward reappraisals,A,Commercially recoverable resources,2021,,0.701,,3,Thousands
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,SILVER,Silver,CLOSING,Closing stock,A,Commercially recoverable resources,2013,,5.013,,3,Thousands
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,SILVER,Silver,CLOSING,Closing stock,A,Commercially recoverable resources,2014,,5.498,,3,Thousands
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,SILVER,Silver,CLOSING,Closing stock,A,Commercially recoverable resources,2015,,5.345,,3,Thousands
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,SILVER,Silver,CLOSING,Closing stock,A,Commercially recoverable resources,2016,,3.626,,3,Thousands
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,SILVER,Silver,CLOSING,Closing stock,A,Commercially recoverable resources,2017,,5.074,,3,Thousands
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,SILVER,Silver,CLOSING,Closing stock,A,Commercially recoverable resources,2018,,4.865,,3,Thousands
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,SILVER,Silver,CLOSING,Closing stock,A,Commercially recoverable resources,2019,,4.48,,3,Thousands
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,SILVER,Silver,CLOSING,Closing stock,A,Commercially recoverable resources,2020,,5.223,,3,Thousands
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,SILVER,Silver,CLOSING,Closing stock,A,Commercially recoverable resources,2021,,4.197,,3,Thousands
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,COPPER,Copper,TOTAL_AD,Total additions to stock,A,Commercially recoverable resources,2013,,1.034,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,COPPER,Copper,TOTAL_AD,Total additions to stock,A,Commercially recoverable resources,2014,,0.092,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,COPPER,Copper,TOTAL_AD,Total additions to stock,A,Commercially recoverable resources,2015,,0.42,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,COPPER,Copper,TOTAL_AD,Total additions to stock,A,Commercially recoverable resources,2017,,0.463,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,COPPER,Copper,TOTAL_AD,Total additions to stock,A,Commercially recoverable resources,2020,,0.232,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,COPPER,Copper,TOTAL_AD,Total additions to stock,A,Commercially recoverable resources,2021,,1.161,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,LEAD,Lead,DOWN,Downward reappraisals,A,Commercially recoverable resources,2014,,0.024,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,LEAD,Lead,DOWN,Downward reappraisals,A,Commercially recoverable resources,2015,,0.001,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,LEAD,Lead,DOWN,Downward reappraisals,A,Commercially recoverable resources,2016,,0.031,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,LEAD,Lead,DOWN,Downward reappraisals,A,Commercially recoverable resources,2018,,0.028,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,ZINC,Zinc,DISCREPANCY,Discrepancies,A,Commercially recoverable resources,2013,,0,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,ZINC,Zinc,DISCREPANCY,Discrepancies,A,Commercially recoverable resources,2014,,0,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,ZINC,Zinc,DISCREPANCY,Discrepancies,A,Commercially recoverable resources,2015,,0,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,ZINC,Zinc,DISCREPANCY,Discrepancies,A,Commercially recoverable resources,2016,,0,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,ZINC,Zinc,DISCREPANCY,Discrepancies,A,Commercially recoverable resources,2017,,0,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,ZINC,Zinc,DISCREPANCY,Discrepancies,A,Commercially recoverable resources,2018,,0,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,ZINC,Zinc,DISCREPANCY,Discrepancies,A,Commercially recoverable resources,2019,,0,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,ZINC,Zinc,DISCREPANCY,Discrepancies,A,Commercially recoverable resources,2020,,0,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,ZINC,Zinc,DISCREPANCY,Discrepancies,A,Commercially recoverable resources,2021,,0,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,LEAD,Lead,UP,Upward reappraisals,A,Commercially recoverable resources,2013,,0.013,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,LEAD,Lead,UP,Upward reappraisals,A,Commercially recoverable resources,2017,,0.139,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,LEAD,Lead,UP,Upward reappraisals,A,Commercially recoverable resources,2019,,0.107,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,LEAD,Lead,UP,Upward reappraisals,A,Commercially recoverable resources,2021,,0.025,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,NICKEL,Nickel,OPENING,Opening stock,A,Commercially recoverable resources,2013,,2.617,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,NICKEL,Nickel,OPENING,Opening stock,A,Commercially recoverable resources,2014,,2.682,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,NICKEL,Nickel,OPENING,Opening stock,A,Commercially recoverable resources,2015,,2.287,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,NICKEL,Nickel,OPENING,Opening stock,A,Commercially recoverable resources,2016,,2.725,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,NICKEL,Nickel,OPENING,Opening stock,A,Commercially recoverable resources,2017,,2.604,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,NICKEL,Nickel,OPENING,Opening stock,A,Commercially recoverable resources,2018,,2.79,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,NICKEL,Nickel,OPENING,Opening stock,A,Commercially recoverable resources,2019,,2.296,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,NICKEL,Nickel,OPENING,Opening stock,A,Commercially recoverable resources,2020,,2.236,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,NICKEL,Nickel,OPENING,Opening stock,A,Commercially recoverable resources,2021,,1.977,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,GOLD,Gold,TOTAL_AD,Total additions to stock,A,Commercially recoverable resources,2013,,123.4,,0,Units
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,GOLD,Gold,TOTAL_AD,Total additions to stock,A,Commercially recoverable resources,2014,,81.4,,0,Units
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,GOLD,Gold,TOTAL_AD,Total additions to stock,A,Commercially recoverable resources,2015,,74.7,,0,Units
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,GOLD,Gold,TOTAL_AD,Total additions to stock,A,Commercially recoverable resources,2016,,85,,0,Units
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,GOLD,Gold,TOTAL_AD,Total additions to stock,A,Commercially recoverable resources,2017,,833.6,,0,Units
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,GOLD,Gold,TOTAL_AD,Total additions to stock,A,Commercially recoverable resources,2018,,210.9,,0,Units
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,GOLD,Gold,TOTAL_AD,Total additions to stock,A,Commercially recoverable resources,2020,,478.1,,0,Units
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,GOLD,Gold,TOTAL_AD,Total additions to stock,A,Commercially recoverable resources,2021,,272.5,,0,Units
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,BBL_US,Barrels,CRUDE,Crude oil,OPENING,Opening stock,A,Commercially recoverable resources,2013,,3.793,,9,Billions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,BBL_US,Barrels,CRUDE,Crude oil,OPENING,Opening stock,A,Commercially recoverable resources,2014,,3.942,,9,Billions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,BBL_US,Barrels,CRUDE,Crude oil,OPENING,Opening stock,A,Commercially recoverable resources,2015,,3.771,,9,Billions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,BBL_US,Barrels,CRUDE,Crude oil,OPENING,Opening stock,A,Commercially recoverable resources,2016,,4.015,,9,Billions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,BBL_US,Barrels,CRUDE,Crude oil,OPENING,Opening stock,A,Commercially recoverable resources,2017,,4.08,,9,Billions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,BBL_US,Barrels,CRUDE,Crude oil,OPENING,Opening stock,A,Commercially recoverable resources,2018,,4.229,,9,Billions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,BBL_US,Barrels,CRUDE,Crude oil,OPENING,Opening stock,A,Commercially recoverable resources,2019,,4.853,,9,Billions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,BBL_US,Barrels,CRUDE,Crude oil,OPENING,Opening stock,A,Commercially recoverable resources,2020,,4.632,,9,Billions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,BBL_US,Barrels,CRUDE,Crude oil,OPENING,Opening stock,A,Commercially recoverable resources,2021,,4.644,,9,Billions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,ZINC,Zinc,EXTRACTIONS,Extractions,A,Commercially recoverable resources,2013,,0.412,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,ZINC,Zinc,EXTRACTIONS,Extractions,A,Commercially recoverable resources,2014,,0.323,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,ZINC,Zinc,EXTRACTIONS,Extractions,A,Commercially recoverable resources,2015,,0.275,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,ZINC,Zinc,EXTRACTIONS,Extractions,A,Commercially recoverable resources,2016,,0.301,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,ZINC,Zinc,EXTRACTIONS,Extractions,A,Commercially recoverable resources,2017,,0.305,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,ZINC,Zinc,EXTRACTIONS,Extractions,A,Commercially recoverable resources,2018,,0.269,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,ZINC,Zinc,EXTRACTIONS,Extractions,A,Commercially recoverable resources,2019,,0.269,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,ZINC,Zinc,EXTRACTIONS,Extractions,A,Commercially recoverable resources,2020,,0.248,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,ZINC,Zinc,EXTRACTIONS,Extractions,A,Commercially recoverable resources,2021,,0.31,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,IRON,Iron-Ore,EXTRACTIONS,Extractions,A,Commercially recoverable resources,2013,,0.042,,9,Billions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,IRON,Iron-Ore,EXTRACTIONS,Extractions,A,Commercially recoverable resources,2014,,0.043,,9,Billions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,IRON,Iron-Ore,EXTRACTIONS,Extractions,A,Commercially recoverable resources,2015,,0.046,,9,Billions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,IRON,Iron-Ore,EXTRACTIONS,Extractions,A,Commercially recoverable resources,2016,,0.047,,9,Billions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,IRON,Iron-Ore,EXTRACTIONS,Extractions,A,Commercially recoverable resources,2017,,0.043,,9,Billions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,IRON,Iron-Ore,EXTRACTIONS,Extractions,A,Commercially recoverable resources,2018,,0.053,,9,Billions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,IRON,Iron-Ore,EXTRACTIONS,Extractions,A,Commercially recoverable resources,2019,,0.056,,9,Billions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,IRON,Iron-Ore,EXTRACTIONS,Extractions,A,Commercially recoverable resources,2020,,0.059,,9,Billions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,IRON,Iron-Ore,EXTRACTIONS,Extractions,A,Commercially recoverable resources,2021,,0.058,,9,Billions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,IRON,Iron-Ore,TOTAL_RED,Total reductions in stock,A,Commercially recoverable resources,2013,,0.042,,9,Billions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,IRON,Iron-Ore,TOTAL_RED,Total reductions in stock,A,Commercially recoverable resources,2014,,0.043,,9,Billions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,IRON,Iron-Ore,TOTAL_RED,Total reductions in stock,A,Commercially recoverable resources,2015,,1.136,,9,Billions
