STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,INST_TYPE_EDU,Type of educational institution,EDUCATION_LEV,Education level,AGE,Age,SUBJ_TYPE,Subject,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,STATISTICAL_OPERATION,Statistical operation,REF_PERIOD,Reference period,DECIMALS,Decimals
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_ISCED(1.0),Instruction time in compulsory general education,I,AUS,Australia,INT_TIME,Instruction time,H_Y,Hours per year,INST_EDU_PUB,Public educational institutions,ISCED11_24,Lower secondary general education,_Z,Not applicable,NCOMPUL,,,,O,Missing value,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_ISCED(1.0),Instruction time in compulsory general education,I,AUS,Australia,INT_TIME,Instruction time,H_Y,Hours per year,INST_EDU_PUB,Public educational institutions,ISCED11_34,Upper secondary general education,_Z,Not applicable,COMPUL,,,,M,Missing value; data cannot exist,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_ISCED(1.0),Instruction time in compulsory general education,I,AUS,Australia,INT_TIME,Instruction time,H_Y,Hours per year,INST_EDU_PUB,Public educational institutions,ISCED11_34,Upper secondary general education,_Z,Not applicable,INTEND,,,,M,Missing value; data cannot exist,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_ISCED(1.0),Instruction time in compulsory general education,I,AUS,Australia,INT_TIME,Instruction time,H_Y,Hours per year,INST_EDU_PUB,Public educational institutions,ISCED11_34,Upper secondary general education,_Z,Not applicable,NCOMPUL,,,,M,Missing value; data cannot exist,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_ISCED(1.0),Instruction time in compulsory general education,I,AUT,Austria,INT_TIME,Instruction time,H,Hours,INST_EDU_PUB,Public educational institutions,ISCED11_1,Primary education,_Z,Not applicable,COMPUL,,2820,,A,Normal value,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_ISCED(1.0),Instruction time in compulsory general education,I,AUT,Austria,INT_TIME,Instruction time,H,Hours,INST_EDU_PUB,Public educational institutions,ISCED11_1,Primary education,_Z,Not applicable,INTEND,,,,O,Missing value,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_ISCED(1.0),Instruction time in compulsory general education,I,AUT,Austria,INT_TIME,Instruction time,H,Hours,INST_EDU_PUB,Public educational institutions,ISCED11_1,Primary education,_Z,Not applicable,NCOMPUL,,,,O,Missing value,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_ISCED(1.0),Instruction time in compulsory general education,I,AUT,Austria,INT_TIME,Instruction time,H,Hours,INST_EDU_PUB,Public educational institutions,ISCED11_1_2,Primary and lower secondary education (basic education),_Z,Not applicable,COMPUL,,6540,,A,Normal value,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_ISCED(1.0),Instruction time in compulsory general education,I,AUT,Austria,INT_TIME,Instruction time,H,Hours,INST_EDU_PUB,Public educational institutions,ISCED11_1_2,Primary and lower secondary education (basic education),_Z,Not applicable,INTEND,,,,O,Missing value,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_ISCED(1.0),Instruction time in compulsory general education,I,AUT,Austria,INT_TIME,Instruction time,H,Hours,INST_EDU_PUB,Public educational institutions,ISCED11_1_2,Primary and lower secondary education (basic education),_Z,Not applicable,NCOMPUL,,,,O,Missing value,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_ISCED(1.0),Instruction time in compulsory general education,I,AUT,Austria,INT_TIME,Instruction time,H,Hours,INST_EDU_PUB,Public educational institutions,ISCED11_24,Lower secondary general education,_Z,Not applicable,COMPUL,,3720,,A,Normal value,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_ISCED(1.0),Instruction time in compulsory general education,I,AUT,Austria,INT_TIME,Instruction time,H,Hours,INST_EDU_PUB,Public educational institutions,ISCED11_24,Lower secondary general education,_Z,Not applicable,INTEND,,,,O,Missing value,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_ISCED(1.0),Instruction time in compulsory general education,I,AUT,Austria,INT_TIME,Instruction time,H,Hours,INST_EDU_PUB,Public educational institutions,ISCED11_24,Lower secondary general education,_Z,Not applicable,NCOMPUL,,,,O,Missing value,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_ISCED(1.0),Instruction time in compulsory general education,I,AUT,Austria,INT_TIME,Instruction time,H,Hours,INST_EDU_PUB,Public educational institutions,ISCED11_34,Upper secondary general education,_Z,Not applicable,COMPUL,,,,O,Missing value,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_ISCED(1.0),Instruction time in compulsory general education,I,AUT,Austria,INT_TIME,Instruction time,H,Hours,INST_EDU_PUB,Public educational institutions,ISCED11_34,Upper secondary general education,_Z,Not applicable,INTEND,,,,O,Missing value,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_ISCED(1.0),Instruction time in compulsory general education,I,AUT,Austria,INT_TIME,Instruction time,H,Hours,INST_EDU_PUB,Public educational institutions,ISCED11_34,Upper secondary general education,_Z,Not applicable,NCOMPUL,,,,O,Missing value,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_ISCED(1.0),Instruction time in compulsory general education,I,AUT,Austria,INT_TIME,Instruction time,H_Y,Hours per year,INST_EDU_PUB,Public educational institutions,ISCED11_1,Primary education,_Z,Not applicable,COMPUL,,705,,A,Normal value,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_ISCED(1.0),Instruction time in compulsory general education,I,AUT,Austria,INT_TIME,Instruction time,H_Y,Hours per year,INST_EDU_PUB,Public educational institutions,ISCED11_1,Primary education,_Z,Not applicable,INTEND,,,,O,Missing value,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_ISCED(1.0),Instruction time in compulsory general education,I,AUT,Austria,INT_TIME,Instruction time,H_Y,Hours per year,INST_EDU_PUB,Public educational institutions,ISCED11_1,Primary education,_Z,Not applicable,NCOMPUL,,,,O,Missing value,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_ISCED(1.0),Instruction time in compulsory general education,I,AUT,Austria,INT_TIME,Instruction time,H_Y,Hours per year,INST_EDU_PUB,Public educational institutions,ISCED11_24,Lower secondary general education,_Z,Not applicable,COMPUL,,930,,A,Normal value,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_ISCED(1.0),Instruction time in compulsory general education,I,AUT,Austria,INT_TIME,Instruction time,H_Y,Hours per year,INST_EDU_PUB,Public educational institutions,ISCED11_24,Lower secondary general education,_Z,Not applicable,INTEND,,,,O,Missing value,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_ISCED(1.0),Instruction time in compulsory general education,I,AUT,Austria,INT_TIME,Instruction time,H_Y,Hours per year,INST_EDU_PUB,Public educational institutions,ISCED11_24,Lower secondary general education,_Z,Not applicable,NCOMPUL,,,,O,Missing value,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_ISCED(1.0),Instruction time in compulsory general education,I,AUT,Austria,INT_TIME,Instruction time,H_Y,Hours per year,INST_EDU_PUB,Public educational institutions,ISCED11_34,Upper secondary general education,_Z,Not applicable,COMPUL,,,,O,Missing value,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_ISCED(1.0),Instruction time in compulsory general education,I,AUT,Austria,INT_TIME,Instruction time,H_Y,Hours per year,INST_EDU_PUB,Public educational institutions,ISCED11_34,Upper secondary general education,_Z,Not applicable,INTEND,,,,O,Missing value,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_ISCED(1.0),Instruction time in compulsory general education,I,AUT,Austria,INT_TIME,Instruction time,H_Y,Hours per year,INST_EDU_PUB,Public educational institutions,ISCED11_34,Upper secondary general education,_Z,Not applicable,NCOMPUL,,,,O,Missing value,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_ISCED(1.0),Instruction time in compulsory general education,I,BFL,Flemish Community,INT_TIME,Instruction time,H,Hours,INST_EDU_PUB,Public educational institutions,ISCED11_1,Primary education,_Z,Not applicable,COMPUL,,4928,,A,Normal value,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_ISCED(1.0),Instruction time in compulsory general education,I,BFL,Flemish Community,INT_TIME,Instruction time,H,Hours,INST_EDU_PUB,Public educational institutions,ISCED11_1,Primary education,_Z,Not applicable,INTEND,,4928,,A,Normal value,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_ISCED(1.0),Instruction time in compulsory general education,I,BFL,Flemish Community,INT_TIME,Instruction time,H,Hours,INST_EDU_PUB,Public educational institutions,ISCED11_1,Primary education,_Z,Not applicable,NCOMPUL,,,,M,Missing value; data cannot exist,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_ISCED(1.0),Instruction time in compulsory general education,I,BFL,Flemish Community,INT_TIME,Instruction time,H,Hours,INST_EDU_PUB,Public educational institutions,ISCED11_1_2,Primary and lower secondary education (basic education),_Z,Not applicable,COMPUL,,6826.66667,,A,Normal value,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_ISCED(1.0),Instruction time in compulsory general education,I,BFL,Flemish Community,INT_TIME,Instruction time,H,Hours,INST_EDU_PUB,Public educational institutions,ISCED11_1_2,Primary and lower secondary education (basic education),_Z,Not applicable,INTEND,,6826.66667,,A,Normal value,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_ISCED(1.0),Instruction time in compulsory general education,I,BFL,Flemish Community,INT_TIME,Instruction time,H,Hours,INST_EDU_PUB,Public educational institutions,ISCED11_1_2,Primary and lower secondary education (basic education),_Z,Not applicable,NCOMPUL,,,,M,Missing value; data cannot exist,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_ISCED(1.0),Instruction time in compulsory general education,I,BFL,Flemish Community,INT_TIME,Instruction time,H,Hours,INST_EDU_PUB,Public educational institutions,ISCED11_24,Lower secondary general education,_Z,Not applicable,COMPUL,,1898.66667,,A,Normal value,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_ISCED(1.0),Instruction time in compulsory general education,I,BFL,Flemish Community,INT_TIME,Instruction time,H,Hours,INST_EDU_PUB,Public educational institutions,ISCED11_24,Lower secondary general education,_Z,Not applicable,INTEND,,1898.66667,,A,Normal value,,,OBS,Observed,2023,,0,Zero
